announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_avg,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,rare_ases_avg,nadas,flaps,label,Incident,window_start,window_end
8,1,8,0,0,0,0,0,0,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,12,0.3333333333333333,4,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:44,2018-04-24 10:05:45
9,0,9,0,0,0,0,0,0,0,15,1,0.0,0,0,0,0,0,0,0,0,0,0,8,0.08163265306122448,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:45,2018-04-24 10:05:46
4,0,4,0,0,0,0,1,0,1,13,2,3.0,3,0,0,0,1,0,0,0,0,0,12,0.375,3,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:46,2018-04-24 10:05:47
22,0,22,0,0,0,0,0,0,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,14,0.11570247933884298,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:47,2018-04-24 10:05:48
111,8,111,0,0,0,0,0,0,0,8,2,4.0,4,0,0,0,0,2,0,0,0,0,28,0.07,6,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:48,2018-04-24 10:05:49
30,1,30,0,0,0,0,0,0,0,8,2,2.857142857142857,3,0,1,0,13,0,0,0,0,1,8,0.04597701149425287,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:49,2018-04-24 10:05:50
5,0,5,0,0,0,0,1,0,1,9,2,5.0,5,0,0,0,0,0,1,0,0,0,14,0.35,2,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:50,2018-04-24 10:05:51
18,0,18,0,0,0,0,0,0,0,12,2,2.5,3,0,1,0,3,0,0,0,0,1,14,0.09929078014184398,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:51,2018-04-24 10:05:52
6,2,6,0,0,0,0,0,0,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,10,0.29411764705882354,0,2,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:52,2018-04-24 10:05:53
102,40,102,0,0,0,0,0,0,0,15,2,4.2,5,0,1,0,0,0,4,0,0,1,71,0.10085227272727272,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:53,2018-04-24 10:05:54
78,9,78,0,0,0,0,0,0,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,59,0.1372093023255814,4,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:54,2018-04-24 10:05:55
18,2,18,0,0,0,0,0,0,0,9,1,0.0,0,1,0,0,0,0,0,0,1,0,16,0.17582417582417584,2,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:55,2018-04-24 10:05:56
217,23,217,0,0,0,0,1,0,1,21,3,2.772727272727273,20,0,1,49,7,2,1,5,0,1,94,0.07142857142857142,0,16,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:56,2018-04-24 10:05:57
6,5,6,0,0,0,0,0,0,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,14,0.4827586206896552,12,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:57,2018-04-24 10:05:58
